,date,year,month,day,content,replies,retweet,likes
72,2020-04-10 13:03:25,2020,4,10,hadap pandemi covid kita semua tenaga sehat sukarelawan kerja fasilitas publik dan yang tinggal di rumah punya peran putus mata rantai sebar virus ini mari satu padu dengan disiplin yang kuat bersamasama keluar dari sulit ini,267,645,4755
73,2020-04-10 12:59:14,2020,4,10,hadap pandemi covid kita semua tenaga sehat sukarelawan kerja fasilitas publik dan yang tinggal di rumah punya peran putus mata rantai sebar virus ini mari satu padu dengan disiplin yang kuat bersamasama keluar dari sulit ini,747,2148,13011
74,2020-04-10 08:24:21,2020,4,10,pandemi covid ini adalah uji yang tengah hadap umat manusia kita akan lalu dengan segenap sabar disiplin dan tetap saling asih,1006,7399,30992
75,2020-04-09 20:22:12,2020,4,9,perintah telah putus bijak khusus kena mudik yakni seluruh asn tni dan polri serta pegawai bumn larang mudik untuk masyarakat sembari pantau dan evaluasi halhal yang ada di lapang perintah anjur untuk tidak mudik,896,3226,15500
76,2020-04-09 19:25:02,2020,4,9,mengapa ada bantu khusus untuk jabodetabek kita ikan ini agar warga urung niat untuk mudik bagai ikhtiar putus mata rantai sebar covid,375,500,3848
77,2020-04-09 19:24:31,2020,4,9,perintah pusat akan beri bantu khusus bahan pokok kepada juta jiwa juta kk warga dki jakarta dan juta jiwa ribu kk warga bogor depok tangerang dan bekas bantu sebut masingmasing besar rp ribu per bulan lama tiga bulan,1606,3099,15259
78,2020-04-09 08:50:54,2020,4,9,seniman musik yang inspirasi glenn fredly deviano latuihamallo telah tinggal kita untuk lama turut duka cita kepada keluarga besar mendiang juga kepada seluruh insan musik indonesia glenn fredly telah pulang tapi karya tetap abadi dan kita nikmat,1407,14211,77445
79,2020-04-07 16:07:14,2020,4,7,prioritas pada keluargakeluarga miskin anggur atau yang tengah anggur kendati begitu dalam laksana program ini harus tetap jalan protokol sehat yang ketat seperti tetap jaga jarak dan pakai masker bagi tiap kerja,361,437,3295
80,2020-04-07 16:06:49,2020,4,7,di tengah pandemi covid perintah siap jaring kam sosial untuk masyarakat khusus untuk warga desa perintah siap program padat karya tunai laksana akan cepat untuk buka lapang kerja dan jaga daya beli masyarakat di desa,1091,1722,11324
81,2020-04-06 14:27:34,2020,4,6,who rekomendasi agar masyarakat guna masker saat aktivitas di luar rumah mari kita patuh imbau sebut sila pakai masker kain yang dapat cuci dan kena berkalikali untuk masker bedah dan n saat ini prioritas bagi dokter dan paramedis,1235,5748,19513
82,2020-04-06 13:16:37,2020,4,6,untuk putus rantai sebar covid di lembaga masyarakat perintah tuju untuk beri bebas syarat kepada jumlah narapidana tindak pidana umum bebas cara syarat ini tidak laku untuk koruptor bahkan bicara di rapat pun tidak,2428,10282,36641
83,2020-04-05 08:38:26,2020,4,5,sudah berapa lama anda diam di rumah minggu tiga minggu lama itu bagi kita mungkin nikmat kumpul sama keluarga bagi rasa bosan tapi itu cara baik ambil peran putus mata rantai pandemi covid bagaimana atas bosan itu,631,875,5539
